university,year,rank,score
Massachusetts Institute of Technology (MIT) ,2017,1,100.0
Stanford University,2017,2,98.7
Harvard University,2017,3,98.3
University of Cambridge,2017,4,97.2
California Institute of Technology (Caltech),2017,5,96.9
University of Oxford,2017,6,96.8
UCL,2017,7,95.6
ETH Zurich - Swiss Federal Institute of Technology,2017,8,94.2
Imperial College London,2017,9,94.1
University of Chicago,2017,10,93.0
Princeton University,2017,11,92.8
National University of Singapore (NUS),2017,12,91.5
"Nanyang Technological University, Singapore (NTU)",2017,13,91.4
EPFL,2017,14,91.1
Yale University,2017,15,90.9
Cornell University,2017,16,90.1
Johns Hopkins University,2017,17,89.3
University of Pennsylvania,2017,18,89.0
The University of Edinburgh,2017,19,88.9
Columbia University,2017,20,88.6
King's College London,2017,21,87.7
The Australian National University,2017,22,87.3
University of Michigan-Ann Arbor,2017,23,86.4
Tsinghua University,2017,24,86.0
Duke University,2017,24,86.0
Northwestern University,2017,26,85.7
The University of Hong Kong,2017,27,85.4
"University of California, Berkeley (UCB)",2017,28,85.2
The University of Manchester,2017,29,84.8
McGill University,2017,30,84.1
"University of California, Los Angeles (UCLA)",2017,31,84.0
University of Toronto,2017,32,83.8
"Ecole normale supérieure, Paris",2017,33,82.9
The University of Tokyo,2017,34,82.6
Seoul National University,2017,35,82.1
The Hong Kong University of Science and Technology,2017,36,81.8
Kyoto University,2017,37,81.7
The London School of Economics and Political Science (LSE),2017,37,81.7
Peking University,2017,39,81.3
"University of California, San Diego (UCSD)",2017,40,80.6
University of Bristol,2017,41,79.6
The University of Melbourne,2017,42,79.5
Fudan University,2017,43,79.4
The Chinese University of Hong Kong (CUHK),2017,44,78.1
University of British Columbia,2017,45,78.0
The University of Sydney,2017,46,77.9
New York University (NYU),2017,46,77.9
KAIST - Korea Advanced Institute of Science & Technology,2017,46,77.9
The University of New South Wales (UNSW Sydney),2017,49,77.8
Brown University,2017,49,77.8
The University of Queensland,2017,51,77.6
The University of Warwick,2017,51,77.6
University of Wisconsin-Madison,2017,53,75.7
Ecole Polytechnique,2017,53,75.7
City University of Hong Kong,2017,55,75.4
Tokyo Institute of Technology (Tokyo Tech),2017,56,74.9
University of Amsterdam,2017,57,74.3
Carnegie Mellon University,2017,58,74.2
University of Washington,2017,59,73.9
Technical University of Munich,2017,60,72.4
Shanghai Jiao Tong University,2017,61,72.2
Delft University of Technology,2017,62,72.1
Osaka University,2017,63,71.7
University of Glasgow,2017,63,71.7
Monash University,2017,65,71.6
University of Illinois at Urbana-Champaign,2017,66,71.4
University of Texas at Austin,2017,67,70.7
Ludwig-Maximilians-Universität München,2017,68,70.2
National Taiwan University (NTU),2017,68,70.2
University of Copenhagen,2017,68,70.2
Georgia Institute of Technology,2017,71,69.8
Ruprecht-Karls-Universität Heidelberg,2017,72,69.7
Lund University,2017,73,69.1
Durham University,2017,74,68.8
Tohoku University,2017,75,68.7
University of Nottingham,2017,75,68.7
University of St Andrews,2017,77,68.2
"University of North Carolina, Chapel Hill",2017,78,68.1
KU Leuven,2017,79,67.9
University of Zurich,2017,80,67.8
