year,rank,score
2021,1.0,100.0
2021,2.0,98.4
2021,3.0,97.9
2021,4.0,97.0
2021,5.0,96.7
2021,6.0,95.0
2021,7.0,94.3
2021,8.0,93.6
2021,9.0,93.1
2021,10.0,92.9
2021,11.0,91.5
2021,12.0,91.0
2021,13.0,89.9
2021,14.0,89.6
2021,15.0,89.2
2021,16.0,88.6
2021,17.0,88.0
2021,18.0,87.6
2021,19.0,86.5
2021,20.0,85.8
2021,21.0,84.6
2021,22.0,83.7
2021,23.0,83.5
2021,24.0,83.2
2021,25.0,82.7
2021,25.0,82.7
2021,27.0,82.1
2021,27.0,82.1
2021,29.0,81.5
2021,30.0,80.8
2021,31.0,80.0
2021,31.0,80.0
2021,31.0,80.0
2021,34.0,79.9
2021,35.0,79.4
2021,36.0,79.2
2021,37.0,79.0
2021,38.0,78.9
2021,39.0,78.6
2021,40.0,77.1
2021,41.0,76.5
2021,42.0,76.4
2021,43.0,75.8
2021,44.0,75.4
2021,45.0,74.8
2021,46.0,74.5
2021,47.0,74.4
2021,48.0,74.3
2021,49.0,73.9
2021,50.0,73.6
2021,51.0,73.4
2021,52.0,73.3
2021,53.0,71.9
2021,54.0,71.2
2021,55.0,70.9
2021,56.0,70.8
2021,57.0,70.7
2021,58.0,70.6
2021,59.0,70.1
2021,60.0,70.0
2021,61.0,69.9
2021,61.0,69.9
2021,62.0,69.0
2021,63.0,68.9
2021,64.0,68.6
2021,65.0,68.2
2021,66.0,67.5
2021,66.0,67.5
2021,69.0,67.1
2021,69.0,67.1
2021,71.0,66.7
2021,72.0,66.1
2021,72.0,66.1
2021,74.0,65.9
2021,75.0,65.8
2021,76.0,65.5
2021,77.0,64.6
2021,77.0,64.6
2021,79.0,64.3
2021,80.0,64.1
2021,81.0,64.0
2021,82.0,63.4
2021,83.0,63.3
2021,84.0,63.0
2021,86.0,62.2
2021,85.0,62.5
2021,87.0,62.0
2021,88.0,61.5
2021,89.0,61.4
2021,90.0,61.3
2021,91.0,61.2
2021,92.0,61.0
2021,93.0,60.8
2021,93.0,60.8
2021,95.0,60.6
2021,96.0,60.3
2021,97.0,60.2
2021,98.0,59.5
2021,99.0,59.0
2021,100.0,58.8
2021,101.0,58.4
2021,101.0,58.4
2021,103.0,57.9
2021,104.0,57.6
2021,105.0,56.9
2021,106.0,56.8
2021,106.0,56.8
2021,108.0,56.4
2021,109.0,55.9
2021,110.0,55.8
2021,110.0,55.8
2021,112.0,55.3
2021,113.0,55.2
2021,114.0,54.9
2021,114.0,55.1
2021,115.0,54.8
2021,115.0,54.8
2021,117.0,54.5
2021,118.0,54.3
2021,119.0,54.0
2021,120.0,53.9
2021,121.0,53.8
2021,121.0,53.8
2021,121.0,53.8
2021,124.0,53.7
2021,124.0,53.7
2021,124.0,53.7
2021,127.0,53.6
2021,128.0,53.4
2021,128.0,53.4
2021,130.0,53.2
2021,131.0,52.9
2021,132.0,52.7
2021,133.0,52.6
2021,135.0,52.5
2021,135.0,52.5
2021,137.0,52.4
2021,138.0,52.3
2021,139.0,52.2
2021,139.0,52.2
2021,141.0,52.0
2021,142.0,51.9
2021,143.0,51.7
2021,144.0,51.5
2021,145.0,51.4
2021,146.0,51.3
2021,147.0,51.0
2021,148.0,50.8
2021,149.0,50.6
2021,150.0,50.3
2021,150.0,50.3
2021,152.0,50.2
2021,152.0,50.2
2021,152.0,50.2
2021,155.0,49.9
2021,156.0,49.7
2021,157.0,49.6
2021,158.0,49.1
2021,159.0,48.5
2021,160.0,48.2
2021,161.0,48.1
2021,162.0,47.4
2021,162.0,47.4
2021,164.0,47.2
2021,165.0,46.9
2021,165.0,46.9
2021,166.0,46.8
2021,168.0,46.4
2021,169.0,46.2
2021,169.0,46.2
2021,171.0,46.1
2021,172.0,46.0
2021,173.0,45.9
2021,173.0,45.9
2021,175.0,45.8
2021,175.0,45.8
2021,177.0,45.7
2021,177.0,45.7
2021,177.0,45.7
2021,180.0,45.6
2021,181.0,45.5
2021,181.0,45.5
2021,183.0,45.4
2021,184.0,45.3
2021,185.0,44.9
2021,186.0,44.7
2021,187.0,44.2
2021,187.0,44.2
2021,189.0,44.1
2021,189.0,44.1
2021,191.0,44.0
2021,191.0,44.0
2021,193.0,43.9
2021,194.0,43.4
2021,195.0,43.3
2021,196.0,43.2
2021,197.0,43.1
2021,197.0,43.1
2021,197.0,43.1
2021,200.0,42.8
2021,200.0,42.8
2021,202.0,42.7
2021,203.0,42.6
2021,203.0,42.6
2021,205.0,42.3
2021,206.0,41.9
2021,207.0,41.8
2021,208.0,41.6
2021,209.0,41.5
2021,210.0,41.4
2021,211.0,41.2
2021,211.0,41.2
2021,213.0,40.9
2021,214.0,40.8
2021,214.0,40.8
2021,216.0,40.6
2021,217.0,40.5
2021,217.0,40.5
2021,217.0,40.5
2021,220.0,40.4
2021,220.0,40.4
2021,220.0,40.4
2021,223.0,40.0
2021,223.0,40.0
2021,225.0,39.9
2021,226.0,39.7
2021,227.0,39.6
2021,228.0,39.4
2021,228.0,39.4
2021,230.0,39.3
2021,230.0,39.3
2021,230.0,39.3
2021,233.0,39.2
2021,234.0,38.9
2021,234.0,38.9
2021,236.0,38.8
2021,236.0,38.8
2021,238.0,38.3
2021,238.0,38.3
2021,240.0,38.2
2021,240.0,38.2
2021,242.0,38.1
2021,242.0,38.1
2021,242.0,38.1
2021,245.0,37.9
2021,246.0,37.8
2021,246.0,37.8
2021,246.0,37.8
2021,246.0,37.8
2021,250.0,37.7
2021,250.0,37.7
2021,252.0,37.5
2021,252.0,37.5
2021,254.0,37.4
2021,254.0,37.4
2021,256.0,37.2
2021,256.0,37.2
2021,258.0,37.0
2021,259.0,36.9
2021,260.0,36.7
2021,260.0,36.7
2021,260.0,36.7
2021,263.0,36.4
2021,264.0,36.3
2021,265.0,36.2
2021,265.0,36.2
2021,267.0,36.0
2021,267.0,36.0
2021,267.0,36.0
2021,270.0,35.9
2021,270.0,35.9
2021,272.0,35.8
2021,273.0,35.6
2021,273.0,35.6
2021,275.0,35.5
2021,275.0,35.5
2021,275.0,35.5
2021,275.0,35.5
2021,279.0,35.4
2021,279.0,35.4
2021,281.0,35.3
2021,282.0,35.2
2021,282.0,35.2
2021,284.0,35.1
2021,285.0,35.0
2021,286.0,34.9
